sweep_axis,sweep_value,max_side,benchmark,method,rows,correct,accuracy,accuracy_percent,avg_total_time_sec,avg_smol_image_tokens,avg_smol_peak_mem_mb,avg_qwen_image_tokens,avg_qwen_peak_mem_mb,avg_image_tokens,avg_overall_peak_allocated_mb
smol,540.0,540.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol540,10,8,0.8,80.0,16.203222110008937,1127.0,3938.094091796875,238.8,3333.32783203125,238.8,3333.32783203125
smol,540.0,540.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol540,10,10,1.0,100.0,16.368363470002077,1127.0,3938.094091796875,498.8,3542.95830078125,498.8,3542.95830078125
smol,640.0,640.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol640,10,8,0.8,80.0,19.186854279992986,1127.0,3938.094091796875,238.8,3337.2935546875,238.8,3337.2935546875
smol,640.0,640.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol640,10,10,1.0,100.0,19.3333560900006,1127.0,3938.094091796875,498.8,3547.27646484375,498.8,3547.27646484375
smol,720.0,720.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol720,10,8,0.8,80.0,19.835841940002865,1127.0,3938.094091796875,238.8,3338.193798828125,238.8,3338.193798828125
smol,720.0,720.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol720,10,10,1.0,100.0,19.995993120013736,1127.0,3938.094091796875,498.8,3543.27314453125,498.8,3543.27314453125
smol,800.0,800.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol800,10,8,0.8,80.0,19.56523817999987,1127.0,3938.094091796875,238.8,3336.558251953125,238.8,3336.558251953125
smol,800.0,800.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol800,10,10,1.0,100.0,19.652214159996948,1127.0,3938.094091796875,498.8,3541.92060546875,498.8,3541.92060546875
smol,960.0,960.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol960,10,9,0.9,90.0,15.954650890006452,1127.0,3938.094091796875,238.8,3334.22314453125,238.8,3334.22314453125
smol,960.0,960.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol960,10,10,1.0,100.0,16.19568169999984,1127.0,3938.094091796875,498.8,3542.67255859375,498.8,3542.67255859375
smol,1080.0,1080.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol1080,10,8,0.8,80.0,9.522074819999398,1127.0,3938.094091796875,238.8,3337.766015625,238.8,3337.766015625
smol,1080.0,1080.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol1080,10,8,0.8,80.0,9.773191359997146,1127.0,3938.094091796875,498.8,3543.25693359375,498.8,3543.25693359375
smol,1280.0,1280.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol1280,10,10,1.0,100.0,9.549342180008534,1127.0,3938.094091796875,238.8,3336.170703125,238.8,3336.170703125
smol,1280.0,1280.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol1280,10,10,1.0,100.0,9.791435589990579,1127.0,3938.094091796875,498.8,3547.58017578125,498.8,3547.58017578125
crop_qwen,0.1,,hrbench_4k,Smol_YOLO_Qwen_4B_crop010,10,10,1.0,100.0,9.266877719998593,1127.0,3186.647802734375,229.6,3328.360693359375,229.6,3328.360693359375
crop_qwen,0.1,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop010,10,10,1.0,100.0,9.514615180011607,1127.0,3186.647802734375,489.6,3541.31669921875,489.6,3541.31669921875
crop_qwen,0.2,,hrbench_4k,Smol_YOLO_Qwen_4B_crop020,10,10,1.0,100.0,9.597720820002724,1127.0,3186.647802734375,243.4,3338.7734375,243.4,3338.7734375
crop_qwen,0.2,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop020,10,10,1.0,100.0,9.81650400000799,1127.0,3186.647802734375,503.4,3552.448828125,503.4,3552.448828125
crop_qwen,0.25,,hrbench_4k,Smol_YOLO_Qwen_4B_crop025,10,10,1.0,100.0,10.48462060999591,1127.0,3186.647802734375,235.6,3336.05830078125,235.6,3336.05830078125
crop_qwen,0.25,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop025,10,10,1.0,100.0,10.59380216000136,1127.0,3186.647802734375,495.6,3544.53955078125,495.6,3544.53955078125
crop_qwen,0.33,,hrbench_4k,Smol_YOLO_Qwen_4B_crop033,10,10,1.0,100.0,10.386227699989103,1127.0,3186.647802734375,237.8,3335.9529296875,237.8,3335.9529296875
crop_qwen,0.33,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop033,10,10,1.0,100.0,10.53040306000039,1127.0,3186.647802734375,497.8,3546.6072265625,497.8,3546.6072265625
crop_qwen,0.5,,hrbench_4k,Smol_YOLO_Qwen_4B_crop050,10,10,1.0,100.0,10.41536683998711,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
crop_qwen,0.5,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,10,10,1.0,100.0,10.55279934000282,1127.0,3186.647802734375,498.8,3547.58017578125,498.8,3547.58017578125
crop_qwen,0.67,,hrbench_4k,Smol_YOLO_Qwen_4B_crop067,10,9,0.9,90.0,10.539622489988687,1127.0,3186.647802734375,305.2,3388.15908203125,305.2,3388.15908203125
crop_qwen,0.67,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop067,10,10,1.0,100.0,10.672838979997323,1127.0,3186.647802734375,565.2,3607.32880859375,565.2,3607.32880859375
crop_qwen,1.0,,hrbench_4k,Smol_YOLO_Qwen_4B_crop100,10,10,1.0,100.0,10.69186633999052,1127.0,3186.647802734375,462.8,3517.65576171875,462.8,3517.65576171875
crop_qwen,1.0,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop100,10,10,1.0,100.0,11.178130400009104,1127.0,3186.647802734375,722.8,3768.2333984375,722.8,3768.2333984375
thumb,360.0,360.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb360,10,10,1.0,100.0,19.291418349999002,1127.0,3186.647802734375,238.8,3336.09853515625,238.8,3336.09853515625
thumb,360.0,360.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb360,10,10,1.0,100.0,19.242092720000073,1127.0,3186.647802734375,363.8,3447.375,363.8,3447.375
thumb,480.0,480.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb480,10,10,1.0,100.0,19.336502530012513,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,480.0,480.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb480,10,10,1.0,100.0,19.38825620999851,1127.0,3186.647802734375,467.8,3523.1423828125,467.8,3523.1423828125
thumb,540.0,540.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb540,10,10,1.0,100.0,19.305956739990506,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,540.0,540.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,10,10,1.0,100.0,19.42782264999405,1127.0,3186.647802734375,531.8,3571.5923828125,531.8,3571.5923828125
thumb,640.0,640.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb640,10,10,1.0,100.0,19.280104599994957,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,640.0,640.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb640,10,10,1.0,100.0,19.543168579999474,1127.0,3186.647802734375,642.8,3664.97490234375,642.8,3664.97490234375
thumb,720.0,720.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb720,10,10,1.0,100.0,18.236636999994516,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,720.0,720.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb720,10,10,1.0,100.0,18.69955734999676,1127.0,3186.647802734375,771.8,3792.73203125,771.8,3792.73203125
thumb,800.0,800.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb800,10,10,1.0,100.0,17.954659979991266,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,800.0,800.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb800,10,10,1.0,100.0,18.53362491999287,1127.0,3186.647802734375,867.8,3889.175390625,867.8,3889.175390625
thumb,960.0,960.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb960,10,10,1.0,100.0,17.958942779997596,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,960.0,960.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb960,10,10,1.0,100.0,18.879271069998502,1127.0,3186.647802734375,1142.8,4199.864453125,1142.8,4199.864453125
thumb,1080.0,1080.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb1080,10,10,1.0,100.0,17.94412271999754,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,1080.0,1080.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb1080,10,10,1.0,100.0,19.096232439996676,1127.0,3186.647802734375,1398.8,4527.53876953125,1398.8,4527.53876953125
thumb,1280.0,1280.0,hrbench_4k,Smol_YOLO_Qwen_4B_thumb1280,10,10,1.0,100.0,17.96254829998943,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
thumb,1280.0,1280.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb1280,10,10,1.0,100.0,19.676606440002796,1127.0,3186.647802734375,1842.8,5180.543359375,1842.8,5180.543359375
yolo_ctx,0.1,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx010,10,8,0.8,80.0,8.509342259989353,1127.0,3186.647802734375,268.8,3269.227783203125,268.8,3269.227783203125
yolo_ctx,0.1,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx010,10,10,1.0,100.0,8.533419659995706,1127.0,3186.647802734375,322.4,3310.0072265625,322.4,3310.0072265625
yolo_ctx,0.2,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx020,10,6,0.6,60.0,8.512351790000684,1127.0,3186.647802734375,232.4,3257.33076171875,232.4,3257.33076171875
yolo_ctx,0.2,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx020,10,10,1.0,100.0,8.591523719998076,1127.0,3186.647802734375,337.6,3334.81240234375,337.6,3334.81240234375
yolo_ctx,0.25,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx025,10,10,1.0,100.0,8.561112099999445,1127.0,3186.647802734375,306.0,3283.06611328125,306.0,3283.06611328125
yolo_ctx,0.25,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx025,10,10,1.0,100.0,8.571576090002782,1127.0,3186.647802734375,308.0,3284.76103515625,308.0,3284.76103515625
yolo_ctx,0.33,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx033,10,5,0.5,50.0,8.889023130002897,1127.0,3186.647802734375,190.8,3242.5876953125,190.8,3242.5876953125
yolo_ctx,0.33,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx033,10,10,1.0,100.0,8.681897659998503,1127.0,3186.647802734375,347.6,3354.30048828125,347.6,3354.30048828125
yolo_ctx,0.5,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx050,10,10,1.0,100.0,8.806276430000434,1127.0,3186.647802734375,238.8,3335.34580078125,238.8,3335.34580078125
yolo_ctx,0.5,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx050,10,10,1.0,100.0,9.053720630003955,1127.0,3186.647802734375,498.8,3548.24462890625,498.8,3548.24462890625
yolo_ctx,0.67,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx067,10,8,0.8,80.0,9.497331850003684,1127.0,3186.647802734375,725.8,3676.68681640625,725.8,3676.68681640625
yolo_ctx,0.67,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx067,10,10,1.0,100.0,9.72401421999093,1127.0,3186.647802734375,985.0,3958.0955078125,985.0,3958.0955078125
yolo_ctx,1.0,,hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,10,10,1.0,100.0,10.484204000007594,1127.0,3186.647802734375,937.0,3859.496484375,937.0,3859.496484375
yolo_ctx,1.0,,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_ctx100,10,10,1.0,100.0,10.751857800004654,1127.0,3186.647802734375,1196.0,4171.92431640625,1196.0,4171.92431640625
