sweep_axis,sweep_value,max_side,benchmark,method,rows,correct,accuracy,accuracy_percent,avg_total_time_sec,avg_smol_image_tokens,avg_smol_peak_mem_mb,avg_qwen_image_tokens,avg_qwen_peak_mem_mb,avg_image_tokens,avg_overall_peak_allocated_mb
control,360.0,360.0,hrbench_4k,Single_VLM_Qwen_4B_S360,10,9,0.9,90.0,0.796424600010505,0.0,0.0,148.0,3140.98583984375,148.0,3140.98583984375
control,480.0,480.0,hrbench_4k,Single_VLM_Qwen_4B_S480,10,10,1.0,100.0,0.3354080699995393,0.0,0.0,252.0,3168.44306640625,252.0,3168.44306640625
control,540.0,540.0,hrbench_4k,Single_VLM_Qwen_4B_S540,10,10,1.0,100.0,0.3695095000002766,0.0,0.0,316.0,3185.08056640625,316.0,3185.08056640625
control,640.0,640.0,hrbench_4k,Single_VLM_Qwen_4B_S640,10,7,0.7,70.0,0.43164306999824475,0.0,0.0,427.0,3212.512890625,427.0,3212.512890625
control,720.0,720.0,hrbench_4k,Single_VLM_Qwen_4B_S720,10,10,1.0,100.0,0.5071480500046164,0.0,0.0,556.0,3291.44990234375,556.0,3291.44990234375
control,800.0,800.0,hrbench_4k,Single_VLM_Qwen_4B_S800,10,10,1.0,100.0,0.5964225200033979,0.0,0.0,652.0,3354.08017578125,652.0,3354.08017578125
control,960.0,960.0,hrbench_4k,Single_VLM_Qwen_4B_S960,10,10,1.0,100.0,0.7961862999916776,0.0,0.0,927.0,3573.984765625,927.0,3573.984765625
control,1080.0,1080.0,hrbench_4k,Single_VLM_Qwen_4B_S1080,10,10,1.0,100.0,1.1015868000045885,0.0,0.0,1183.0,3790.8173828125,1183.0,3790.8173828125
control,1280.0,1280.0,hrbench_4k,Single_VLM_Qwen_4B_S1280,10,10,1.0,100.0,1.592008530005114,0.0,0.0,1627.0,4282.418359375,1627.0,4282.418359375
smol,360.0,360.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol360,10,8,0.8,80.0,8.970329669996863,1127.0,3187.522802734375,238.8,3337.6154296875,238.8,3337.6154296875
smol,360.0,360.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol360,10,10,1.0,100.0,9.182946100001573,1127.0,3187.522802734375,498.8,3543.64951171875,498.8,3543.64951171875
smol,480.0,480.0,hrbench_4k,Smol_YOLO_Qwen_4B_smol480,10,9,0.9,90.0,14.542105449998052,1127.0,3938.094091796875,238.8,3334.8234375,238.8,3334.8234375
smol,480.0,480.0,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol480,10,10,1.0,100.0,14.722614820013405,1127.0,3938.094091796875,498.8,3542.64892578125,498.8,3542.64892578125
