sweep_axis,sweep_value,max_side,benchmark,method,rows,correct,accuracy,accuracy_percent,avg_total_time_sec,avg_smol_image_tokens,avg_smol_peak_mem_mb,avg_qwen_image_tokens,avg_qwen_peak_mem_mb,avg_image_tokens,avg_overall_peak_allocated_mb
smol,360,360,hrbench_4k,Smol_YOLO_Qwen_4B_smol360,10,8,0.8,80.0,10.904455440002494,1127.0,974.063818359375,238.8,3337.17890625,238.8,3337.17890625
smol,360,360,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol360,10,10,1.0,100.0,11.016856399996323,1127.0,974.063818359375,498.8,3546.28740234375,498.8,3546.28740234375
smol,480,480,hrbench_4k,Smol_YOLO_Qwen_4B_smol480,10,9,0.9,90.0,16.56319639000867,1127.0,3940.344091796875,238.8,3335.1890625,238.8,3335.1890625
smol,480,480,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol480,10,10,1.0,100.0,16.803071780008032,1127.0,3940.344091796875,498.8,3545.22783203125,498.8,3545.22783203125
smol,540,540,hrbench_4k,Smol_YOLO_Qwen_4B_smol540,10,9,0.9,90.0,10.291329009999753,1127.0,3940.344091796875,238.8,3334.27314453125,238.8,3334.27314453125
smol,540,540,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol540,10,10,1.0,100.0,10.424117160003515,1127.0,3940.344091796875,498.8,3546.33349609375,498.8,3546.33349609375
smol,640,640,hrbench_4k,Smol_YOLO_Qwen_4B_smol640,10,8,0.8,80.0,19.67594715000596,1127.0,3940.344091796875,238.8,3338.78642578125,238.8,3338.78642578125
smol,640,640,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol640,10,10,1.0,100.0,19.799015599992707,1127.0,3940.344091796875,498.8,3546.88662109375,498.8,3546.88662109375
smol,720,720,hrbench_4k,Smol_YOLO_Qwen_4B_smol720,10,9,0.9,90.0,16.79496416001057,1127.0,3940.344091796875,238.8,3338.72314453125,238.8,3338.72314453125
smol,720,720,hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol720,10,10,1.0,100.0,16.928580530008183,1127.0,3940.344091796875,498.8,3546.03583984375,498.8,3546.03583984375
smol,800,800,hrbench_4k,Smol_YOLO_Qwen_4B_smol800,10,8,0.8,80.0,19.3495728900074,1127.0,3940.344091796875,238.8,3336.4583984375,238.8,3336.4583984375
