benchmark,method,rows,correct,accuracy,avg_preprocess_time_sec,min_preprocess_time_sec,max_preprocess_time_sec,avg_processor_time_sec,min_processor_time_sec,max_processor_time_sec,avg_prefill_time_sec,min_prefill_time_sec,max_prefill_time_sec,avg_decode_time_sec,min_decode_time_sec,max_decode_time_sec,avg_output_time_sec,min_output_time_sec,max_output_time_sec,avg_input_time_with_preprocess_sec,min_input_time_with_preprocess_sec,max_input_time_with_preprocess_sec,avg_total_time_sec,min_total_time_sec,max_total_time_sec,avg_text_tokens,min_text_tokens,max_text_tokens,avg_image_tokens,min_image_tokens,max_image_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,avg_prefill_tokens_per_sec,min_prefill_tokens_per_sec,max_prefill_tokens_per_sec,avg_decode_tokens_per_sec,min_decode_tokens_per_sec,max_decode_tokens_per_sec,avg_prefill_mem_peak_allocated_mb,min_prefill_mem_peak_allocated_mb,max_prefill_mem_peak_allocated_mb,avg_decode_mem_peak_allocated_mb,min_decode_mem_peak_allocated_mb,max_decode_mem_peak_allocated_mb,avg_overall_peak_allocated_mb,min_overall_peak_allocated_mb,max_overall_peak_allocated_mb,avg_num_objects,min_num_objects,max_num_objects,accuracy_percent
hrbench_4k,Smol_YOLO_Qwen_4B,50,32,0.64,8.185037017999274,7.672747199998412,8.963963399997738,0.017265046000102303,0.007913800000096671,0.05228209999768296,0.017265046000102303,0.007913800000096671,0.05228209999768296,0.6402672040002654,0.3829332000022987,0.9802759000012884,0.6402672040002654,0.3829332000022987,0.9802759000012884,8.202302063999378,7.685585299994273,9.01624549999542,8.842569267999643,8.149808699992718,9.996521399996709,328.0,315.0,338.0,483.48,185.0,834.0,811.48,500.0,1165.0,49947.49601197397,19012.24319688865,64334.93759595053,3.3925578483084875,2.0402419359665696,5.222843044134053,3400.62904296875,3178.23681640625,3672.97509765625,3400.62904296875,3178.23681640625,3672.97509765625,3400.62904296875,3178.23681640625,3672.97509765625,3.36,2.0,6.0,64.0
hrbench_4k,Single_VLM_Qwen_4B,50,46,0.92,0.0,0.0,0.0,0.04724851199993282,0.0446215000047232,0.05476230000203941,0.04724851199993282,0.0446215000047232,0.05476230000203941,1.6021532920001482,1.516263000004983,1.6532597000041278,1.6021532920001482,1.516263000004983,1.6532597000041278,0.04724851199993282,0.0446215000047232,0.05476230000203941,1.649401804000081,1.5621671000117203,1.7014787000007345,68.72,56.0,80.0,1620.6,1547.0,1627.0,1689.32,1621.0,1707.0,35796.621904285996,30878.907568473664,38075.815466090564,1.2487419534865705,1.2097312962960425,1.3190323842192464,4257.62806640625,4173.14208984375,4277.88720703125,4257.62806640625,4173.14208984375,4277.88720703125,4257.62806640625,4173.14208984375,4277.88720703125,0.0,0.0,0.0,92.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,50,36,0.72,8.185037017999274,7.672747199998412,8.963963399997738,0.0404295099999581,0.0290580000000773,0.05417730000044685,0.0404295099999581,0.0290580000000773,0.05417730000044685,0.8416899519997242,0.5564941999982693,1.1656089999960386,0.8416899519997242,0.5564941999982693,1.1656089999960386,8.225466527999233,7.705938699997205,9.010915899991232,9.067156479998957,8.362039499996172,10.009751499994309,328.0,315.0,338.0,737.2,440.0,1089.0,1065.2,755.0,1420.0,26257.47808481829,20803.69366100561,30137.04030859818,2.51539883619076,1.7158412469419824,3.5939278432842965,3604.178828125,3354.48974609375,3932.4599609375,3604.178828125,3354.48974609375,3932.4599609375,3604.178828125,3354.48974609375,3932.4599609375,3.36,2.0,6.0,72.0
