benchmark,method,rows,correct,accuracy,avg_preprocess_time_sec,min_preprocess_time_sec,max_preprocess_time_sec,avg_processor_time_sec,min_processor_time_sec,max_processor_time_sec,avg_prefill_time_sec,min_prefill_time_sec,max_prefill_time_sec,avg_decode_time_sec,min_decode_time_sec,max_decode_time_sec,avg_output_time_sec,min_output_time_sec,max_output_time_sec,avg_input_time_with_preprocess_sec,min_input_time_with_preprocess_sec,max_input_time_with_preprocess_sec,avg_total_time_sec,min_total_time_sec,max_total_time_sec,avg_text_tokens,min_text_tokens,max_text_tokens,avg_image_tokens,min_image_tokens,max_image_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,avg_prefill_tokens_per_sec,min_prefill_tokens_per_sec,max_prefill_tokens_per_sec,avg_decode_tokens_per_sec,min_decode_tokens_per_sec,max_decode_tokens_per_sec,avg_prefill_mem_peak_allocated_mb,min_prefill_mem_peak_allocated_mb,max_prefill_mem_peak_allocated_mb,avg_decode_mem_peak_allocated_mb,min_decode_mem_peak_allocated_mb,max_decode_mem_peak_allocated_mb,avg_overall_peak_allocated_mb,min_overall_peak_allocated_mb,max_overall_peak_allocated_mb,avg_num_objects,min_num_objects,max_num_objects,accuracy_percent
hrbench_4k,Smol_YOLO_Qwen_4B_smol360,10,8,0.8,9.892591689998516,7.610744099976728,17.52634060001583,0.012552669999422505,0.006910900003276765,0.03543730001547374,0.012552669999422505,0.006910900003276765,0.03543730001547374,0.5265407499973662,0.4283317999797873,0.8152696999895852,0.5265407499973662,0.4283317999797873,0.8152696999895852,9.905144359997939,7.619704299984733,17.542495600006077,10.431685109995305,8.134648799983552,18.11594870002591,479.6,447.0,505.0,238.8,188.0,276.0,718.4,635.0,781.0,70683.40780548217,22038.925077784577,91883.83563630182,3.9325594192484417,2.453175924513752,4.6692774155324885,3340.55205078125,3286.31884765625,3383.49755859375,3340.55205078125,3286.31884765625,3383.49755859375,3340.55205078125,3286.31884765625,3383.49755859375,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol360,10,10,1.0,9.892591689998516,7.610744099976728,17.52634060001583,0.01581943999917712,0.013881799997761846,0.01785170001676306,0.01581943999917712,0.013881799997761846,0.01785170001676306,0.7458087599952705,0.6398262000002433,0.8281309999874793,0.7458087599952705,0.6398262000002433,0.8281309999874793,9.908411129997694,7.626536999974633,17.54419230003259,10.654219889992964,8.370687099988572,18.36649810001836,502.6,470.0,528.0,498.8,448.0,536.0,1001.4,918.0,1064.0,63525.251204641885,59602.166684455,66129.75263640223,2.7160268425223593,2.4150768417439252,3.12584886333076,3547.66416015625,3490.24560546875,3591.81884765625,3547.66416015625,3490.24560546875,3591.81884765625,3547.66416015625,3490.24560546875,3591.81884765625,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol480,10,8,0.8,8.101026920005097,7.537748600007035,8.783675600017887,0.008840529996086843,0.007224800006952137,0.010400299972388893,0.008840529996086843,0.007224800006952137,0.010400299972388893,0.4966358100034995,0.4293002000194974,0.5500599000079092,0.4966358100034995,0.4293002000194974,0.5500599000079092,8.109867450001184,7.547776899999008,8.790900400024839,8.606503260004683,8.094103599985829,9.24291430003359,478.0,445.0,505.0,238.8,188.0,276.0,716.8,633.0,781.0,81691.11690001664,75093.98787279484,87614.88198855185,4.070391870810809,3.635967646380408,4.658744626508831,3338.34287109375,3283.00634765625,3383.49755859375,3338.34287109375,3283.00634765625,3383.49755859375,3338.34287109375,3283.00634765625,3383.49755859375,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol480,10,10,1.0,8.101026920005097,7.537748600007035,8.783675600017887,0.015954949997831137,0.014143100008368492,0.017908999987412244,0.015954949997831137,0.014143100008368492,0.017908999987412244,0.7402188199979719,0.6390822999819648,0.8023007000156213,0.7402188199979719,0.6390822999819648,0.8023007000156213,8.116981870002927,7.55455569998594,8.799704200035194,8.8572006900009,8.351724599982845,9.445587800029898,501.0,468.0,528.0,498.8,448.0,536.0,999.8,916.0,1064.0,62750.78059994888,57147.848159597444,67064.27592846387,2.7296727700819,2.492830929801082,3.129487391618327,3546.56083984375,3489.01220703125,3591.81884765625,3546.56083984375,3489.01220703125,3591.81884765625,3546.56083984375,3489.01220703125,3591.81884765625,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol540,10,9,0.9,8.06093225000077,7.585408900020411,8.637189800007036,0.009909499995410442,0.007237199984956533,0.018173999997088686,0.009909499995410442,0.007237199984956533,0.018173999997088686,0.4932035199919483,0.4226613999926485,0.5516850000130944,0.4932035199919483,0.4226613999926485,0.5516850000130944,8.07084174999618,7.592818400007673,8.647621399984928,8.564045269988128,8.022686899988912,9.197635599964997,476.4,440.0,506.0,238.8,188.0,276.0,715.2,628.0,782.0,75818.02361681678,43028.50226286285,86773.89063524293,4.110910962353108,3.625257166594215,4.731920161232577,3335.54482421875,3275.48291015625,3384.02587890625,3335.54482421875,3275.48291015625,3384.02587890625,3335.54482421875,3275.48291015625,3384.02587890625,2.6,2.0,3.0,90.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol540,10,10,1.0,8.06093225000077,7.585408900020411,8.637189800007036,0.01587129999534227,0.014415100013138726,0.0173744999920018,0.01587129999534227,0.014415100013138726,0.0173744999920018,0.7431205000000773,0.636597900011111,0.8183424999879207,0.7431205000000773,0.636597900011111,0.8183424999879207,8.07680354999611,7.59982400003355,8.654133200005163,8.819924049996189,8.237969900044845,9.471358800015878,499.4,463.0,529.0,498.8,448.0,536.0,998.2,911.0,1065.0,62922.473281742445,61296.72799161204,66802.11397383273,2.728257502623721,2.443964477012402,3.141700593051112,3544.46572265625,3483.54833984375,3592.044921875,3544.46572265625,3483.54833984375,3592.044921875,3544.46572265625,3483.54833984375,3592.044921875,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol640,10,8,0.8,7.967442100009066,7.614323600020725,8.399113800027408,0.008999989999574609,0.00698129998636432,0.010904899972956628,0.008999989999574609,0.00698129998636432,0.010904899972956628,0.4971861399972113,0.4304988000076264,0.5582554999855347,0.4971861399972113,0.4304988000076264,0.5582554999855347,7.976442090008641,7.6234366000280716,8.409731100022327,8.473628230005852,8.112525700009428,8.967986600007862,480.0,450.0,504.0,238.8,188.0,276.0,718.8,638.0,780.0,80868.04641164161,71527.47865036307,91386.99114006328,4.071313578196828,3.5825889759291636,4.645773693131246,3339.6197265625,3286.498046875,3382.96728515625,3339.6197265625,3286.498046875,3382.96728515625,3339.6197265625,3286.498046875,3382.96728515625,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol640,10,10,1.0,7.967442100009066,7.614323600020725,8.399113800027408,0.01695972000306938,0.013997700007166713,0.030597300006775185,0.01695972000306938,0.013997700007166713,0.030597300006775185,0.7521286199975293,0.6431839999859221,0.8397204000211786,0.7521286199975293,0.6431839999859221,0.8397204000211786,7.984401820012136,7.6303643000428565,8.415921500010882,8.736530440009664,8.353755999996793,9.25564190003206,503.0,473.0,527.0,498.8,448.0,536.0,1001.8,921.0,1063.0,61510.01818658932,34741.62752153357,67314.59387389917,2.6940989478257467,2.3817451617818954,3.1095300878811902,3549.16259765625,3495.14013671875,3591.2802734375,3549.16259765625,3495.14013671875,3591.2802734375,3549.16259765625,3495.14013671875,3591.2802734375,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol720,10,8,0.8,8.243085389997578,7.641004000004614,9.757143699971493,0.008845680000376888,0.007133600011002272,0.010838099988177419,0.008845680000376888,0.007133600011002272,0.010838099988177419,0.5057691000023624,0.4307890000054613,0.5820914999931119,0.5057691000023624,0.4307890000054613,0.5820914999931119,8.251931069997955,7.651191800017841,9.766071699967142,8.757700170000316,8.116805599973304,10.298284099961165,478.8,447.0,503.0,238.8,188.0,276.0,717.6,635.0,779.0,82061.15680352281,71876.0669166884,89015.36377433957,4.0115397520432605,3.4358859389351446,4.6426440785968195,3340.57421875,3286.31884765625,3382.43994140625,3340.57421875,3286.31884765625,3382.43994140625,3340.57421875,3286.31884765625,3382.43994140625,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol720,10,10,1.0,8.243085389997578,7.641004000004614,9.757143699971493,0.01591533999890089,0.014139999984763563,0.017567799979588017,0.01591533999890089,0.014139999984763563,0.017567799979588017,0.7465400499961106,0.6446745000139344,0.8168857999844477,0.7465400499961106,0.6446745000139344,0.8168857999844477,8.259000729996478,7.658342300012009,9.772924099961529,9.00554077999259,8.350824199966155,10.567815099959262,501.8,470.0,526.0,498.8,448.0,536.0,1000.6,918.0,1062.0,62958.30910786065,60451.50794259584,66094.64910006202,2.7089071210749207,2.4483226419630224,3.102340793620301,3547.38916015625,3490.24560546875,3591.13134765625,3547.38916015625,3490.24560546875,3591.13134765625,3547.38916015625,3490.24560546875,3591.13134765625,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol800,10,9,0.9,8.007955350002158,7.519445899990387,10.070527100004256,0.008959660003893078,0.006991500005824491,0.010918300016783178,0.008959660003893078,0.006991500005824491,0.010918300016783178,0.5016970599943307,0.4293222999840509,0.5716619000013452,0.5016970599943307,0.4293222999840509,0.5716619000013452,8.01691501000605,7.526639699994121,10.08003420001478,8.518612070000382,7.955961999978172,10.593238000001293,477.0,446.0,500.0,238.8,188.0,276.0,715.8,634.0,776.0,81094.07570662526,71073.33548328618,90681.54179672833,4.034042103036329,3.498571445806155,4.658504811127441,3337.6212890625,3286.2587890625,3375.3642578125,3337.6212890625,3286.2587890625,3375.3642578125,3337.6212890625,3286.2587890625,3375.3642578125,2.6,2.0,3.0,90.0
